PRODUKT_CODE;STATION_ID;ZEITSTEMPEL;WERT;QN;QB
R1_MN008;433;200801010000;0;3;0
R1_MN008;433;200801010100;0;3;0
R1_MN008;433;200801010200;0;3;0
R1_MN008;433;200801010300;0;3;0
R1_MN008;433;200801010400;0;3;0
R1_MN008;433;200801010500;0;3;0
R1_MN008;433;200801010600;0;3;0
R1_MN008;433;200801010700;0;3;0
R1_MN008;433;200801010800;0;3;0
R1_MN008;433;200801010900;0;3;0
R1_MN008;433;200801011000;0;3;0
R1_MN008;433;200801011100;0.1;3;0
R1_MN008;433;200801011200;0.1;3;0
R1_MN008;433;200801011300;0.6;3;0
R1_MN008;433;200801011400;1.1;3;0
R1_MN008;433;200801011500;1.7;3;0
R1_MN008;433;200801011600;0;3;0
R1_MN008;433;200801011700;0;3;0
R1_MN008;433;200801011800;0;3;0
R1_MN008;433;200801011900;0.1;3;0
R1_MN008;433;200801012000;0;3;0
R1_MN008;433;200801012100;0;3;0
R1_MN008;433;200801012200;0;3;0
R1_MN008;433;200801012300;0;3;0
R1_MN008;433;200801020000;0;3;0
R1_MN008;433;200801020100;0;3;0
R1_MN008;433;200801020200;0;3;0
R1_MN008;433;200801020300;0;3;0
R1_MN008;433;200801020400;0;3;0
R1_MN008;433;200801020500;0;3;0
R1_MN008;433;200801020600;0;3;0
R1_MN008;433;200801020700;0;3;0
R1_MN008;433;200801020800;0.4;3;0
R1_MN008;433;200801020900;0;3;0
R1_MN008;433;200801021000;0;3;0
R1_MN008;433;200801021100;0;3;0
R1_MN008;433;200801021200;0;3;0
R1_MN008;433;200801021300;0;3;0
R1_MN008;433;200801021400;0;3;0
R1_MN008;433;200801021500;0;3;0
R1_MN008;433;200801021600;0;3;0
R1_MN008;433;200801021700;0;3;0
R1_MN008;433;200801021800;0;3;0
R1_MN008;433;200801021900;0;3;0
R1_MN008;433;200801022000;0;3;0
R1_MN008;433;200801022100;0;3;0
R1_MN008;433;200801022200;0;3;0
R1_MN008;433;200801022300;0;3;0
R1_MN008;433;200801030000;0;3;0
R1_MN008;433;200801030100;0;3;0
R1_MN008;433;200801030200;0;3;0
R1_MN008;433;200801030300;0;3;0
R1_MN008;433;200801030400;0;3;0
R1_MN008;433;200801030500;0;3;0
R1_MN008;433;200801030600;0;3;0
R1_MN008;433;200801030700;0;3;0
R1_MN008;433;200801030800;0;3;0
R1_MN008;433;200801030900;0;3;0
R1_MN008;433;200801031000;0;3;0
R1_MN008;433;200801031100;0;3;0
R1_MN008;433;200801031200;0;3;0
R1_MN008;433;200801031300;0;3;0
R1_MN008;433;200801031400;0;3;0
R1_MN008;433;200801031500;0;3;0
R1_MN008;433;200801031600;0;3;0
R1_MN008;433;200801031700;0;3;0
R1_MN008;433;200801031800;0;3;0
R1_MN008;433;200801031900;0;3;0
R1_MN008;433;200801032000;0;3;0
R1_MN008;433;200801032100;0;3;0
R1_MN008;433;200801032200;0;3;0
R1_MN008;433;200801032300;0;3;0
R1_MN008;433;200801040000;0;3;0
R1_MN008;433;200801040100;0;3;0
R1_MN008;433;200801040200;0;3;0
R1_MN008;433;200801040300;0;3;0
R1_MN008;433;200801040400;0;3;0
R1_MN008;433;200801040500;0;3;0
R1_MN008;433;200801040600;0;3;0
R1_MN008;433;200801040700;0;3;0
R1_MN008;433;200801040800;0;3;0
R1_MN008;433;200801040900;0;3;0
R1_MN008;433;200801041000;0;3;0
R1_MN008;433;200801041100;0;3;0
R1_MN008;433;200801041200;0;3;0
R1_MN008;433;200801041300;0;3;0
R1_MN008;433;200801041400;0;3;0
R1_MN008;433;200801041500;0;3;0
R1_MN008;433;200801041600;0;3;0
R1_MN008;433;200801041700;0;3;0
R1_MN008;433;200801041800;0;3;0
R1_MN008;433;200801041900;0;3;0
R1_MN008;433;200801042000;0;3;0
R1_MN008;433;200801042100;0;3;0
R1_MN008;433;200801042200;0;3;0
R1_MN008;433;200801042300;0;3;0
R1_MN008;433;200801050000;0;3;0
R1_MN008;433;200801050100;0;3;0
R1_MN008;433;200801050200;0;3;0
R1_MN008;433;200801050300;0;3;0
R1_MN008;433;200801050400;0;3;0
R1_MN008;433;200801050500;0;3;0
R1_MN008;433;200801050600;0;3;0
R1_MN008;433;200801050700;0;3;0
R1_MN008;433;200801050800;0;3;0
R1_MN008;433;200801050900;0;3;0
R1_MN008;433;200801051000;0;3;0
R1_MN008;433;200801051100;0;3;0
R1_MN008;433;200801051200;0;3;0
R1_MN008;433;200801051300;0;3;0
R1_MN008;433;200801051400;0;3;0
R1_MN008;433;200801051500;0.1;3;0
R1_MN008;433;200801051600;0;3;0
R1_MN008;433;200801051700;0.1;3;0
R1_MN008;433;200801051800;0.2;3;0
R1_MN008;433;200801051900;0;3;0
R1_MN008;433;200801052000;0;3;0
R1_MN008;433;200801052100;0;3;0
R1_MN008;433;200801052200;0;3;0
R1_MN008;433;200801052300;0;3;0
R1_MN008;433;200801060000;0;3;0
R1_MN008;433;200801060100;0;3;0
R1_MN008;433;200801060200;0;3;0
R1_MN008;433;200801060300;0;3;0
R1_MN008;433;200801060400;0;3;0
R1_MN008;433;200801060500;0;3;0
R1_MN008;433;200801060600;0;3;0
R1_MN008;433;200801060700;0.1;3;0
R1_MN008;433;200801060800;0.1;3;0
R1_MN008;433;200801060900;0.2;3;0
R1_MN008;433;200801061000;0.7;3;0
R1_MN008;433;200801061100;0.6;3;0
R1_MN008;433;200801061200;0.1;3;0
R1_MN008;433;200801061300;0.3;3;0
R1_MN008;433;200801061400;0;3;0
R1_MN008;433;200801061500;0;3;0
R1_MN008;433;200801061600;0.7;3;0
R1_MN008;433;200801061700;0.2;3;0
R1_MN008;433;200801061800;0;3;0
R1_MN008;433;200801061900;0;3;0
R1_MN008;433;200801062000;0;3;0
R1_MN008;433;200801062100;0;3;0
R1_MN008;433;200801062200;0;3;0
R1_MN008;433;200801062300;0;3;0
R1_MN008;433;200801070000;0;3;0
R1_MN008;433;200801070100;0;3;0
R1_MN008;433;200801070200;0;3;0
R1_MN008;433;200801070300;0;3;0
R1_MN008;433;200801070400;0;3;0
R1_MN008;433;200801070500;0;3;0
R1_MN008;433;200801070600;0;3;0
R1_MN008;433;200801070700;0;3;0
R1_MN008;433;200801070800;0;3;0
R1_MN008;433;200801070900;0;3;0
R1_MN008;433;200801071000;0;3;0
R1_MN008;433;200801071100;1;3;0
R1_MN008;433;200801071200;2.5;3;0
R1_MN008;433;200801071300;0.1;3;0
R1_MN008;433;200801071400;0;3;0
R1_MN008;433;200801071500;0;3;0
R1_MN008;433;200801071600;0;3;0
R1_MN008;433;200801071700;0;3;0
R1_MN008;433;200801071800;0;3;0
R1_MN008;433;200801071900;0;3;0
R1_MN008;433;200801072000;0;3;0
R1_MN008;433;200801072100;0;3;0
R1_MN008;433;200801072200;0;3;0
R1_MN008;433;200801072300;0;3;0
R1_MN008;433;200801080000;0.9;3;0
R1_MN008;433;200801080100;0.8;3;0
R1_MN008;433;200801080200;0;3;0
R1_MN008;433;200801080300;0;3;0
R1_MN008;433;200801080400;0;3;0
R1_MN008;433;200801080500;0;3;0
R1_MN008;433;200801080600;0;3;0
R1_MN008;433;200801080700;0;3;0
R1_MN008;433;200801080800;0;3;0
R1_MN008;433;200801080900;0;3;0
R1_MN008;433;200801081000;0;3;0
R1_MN008;433;200801081100;0;3;0
R1_MN008;433;200801081200;0;3;0
R1_MN008;433;200801081300;0;3;0
R1_MN008;433;200801081400;0;3;0
R1_MN008;433;200801081500;0;3;0
R1_MN008;433;200801081600;0;3;0
R1_MN008;433;200801081700;0;3;0
R1_MN008;433;200801081800;0;3;0
R1_MN008;433;200801081900;0;3;0
R1_MN008;433;200801082000;0;3;0
R1_MN008;433;200801082100;0;3;0
R1_MN008;433;200801082200;0;3;0
R1_MN008;433;200801082300;0;3;0
R1_MN008;433;200801090000;0;3;0
R1_MN008;433;200801090100;0;3;0
R1_MN008;433;200801090200;0;3;0
R1_MN008;433;200801090300;0;3;0
R1_MN008;433;200801090400;0;3;0
R1_MN008;433;200801090500;0;3;0
R1_MN008;433;200801090600;0;3;0
R1_MN008;433;200801090700;0;3;0
R1_MN008;433;200801090800;0;3;0
R1_MN008;433;200801090900;0;3;0
R1_MN008;433;200801091000;0;3;0
R1_MN008;433;200801091100;0;3;0
R1_MN008;433;200801091200;0;3;0
R1_MN008;433;200801091300;0;3;0
R1_MN008;433;200801091400;0;3;0
R1_MN008;433;200801091500;0;3;0
R1_MN008;433;200801091600;0;3;0
